epoch,epoch_training_loss,epoch_validation_loss,epoch_testing_loss,training_accuracy,training_f1,validation_accuracy,validation_f1,testing_accuracy,testing_f1,model-activation-optimizer-lr-wd
87,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
88,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
89,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
90,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
91,0.6932,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
92,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
93,0.6932,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
94,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
95,0.6932,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
96,0.6932,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
97,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
98,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
99,0.6932,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
100,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
